iter	Passed	Remaining
0	0	50
1	0	45
2	1	43
3	1	40
4	2	39
5	2	39
6	2	39
7	3	38
8	3	38
9	4	37
10	4	37
11	5	36
12	5	36
13	5	35
14	6	35
15	6	34
16	7	34
17	7	33
18	7	32
19	7	31
20	8	30
21	8	30
22	8	29
23	9	29
24	9	28
25	9	27
26	10	27
27	10	26
28	10	26
29	10	25
30	11	24
31	11	24
32	11	23
33	11	23
34	12	22
35	12	22
36	12	21
37	13	21
38	13	20
39	13	20
40	13	19
41	13	19
42	14	18
43	14	18
44	14	18
45	15	17
46	15	17
47	15	16
48	15	16
49	16	16
50	16	15
51	16	15
52	16	14
53	17	14
54	17	14
55	17	13
56	17	13
57	18	13
58	18	12
59	18	12
60	18	12
61	19	11
62	19	11
63	19	11
64	19	10
65	20	10
66	20	10
67	20	9
68	21	9
69	21	9
70	21	8
71	21	8
72	22	8
73	22	7
74	22	7
75	22	7
76	23	6
77	23	6
78	23	6
79	23	5
80	24	5
81	24	5
82	24	5
83	24	4
84	25	4
85	25	4
86	25	3
87	25	3
88	26	3
89	26	2
90	26	2
91	27	2
92	27	2
93	27	1
94	27	1
95	28	1
96	28	0
97	28	0
98	28	0
99	29	0
