iter	Passed	Remaining
0	48	48618
1	50	25087
2	51	17118
3	52	13122
4	53	10696
5	54	9080
6	55	7933
7	56	7066
8	58	6387
9	60	5996
10	61	5528
11	63	5195
12	64	4878
13	64	4572
14	65	4326
15	66	4113
16	67	3910
17	68	3721
18	68	3553
19	69	3402
20	70	3264
21	70	3136
22	71	3021
23	71	2914
24	72	2816
25	72	2724
26	73	2646
27	74	2576
28	74	2508
29	75	2443
30	76	2380
31	76	2323
32	77	2266
33	77	2212
34	78	2162
35	78	2113
36	79	2068
37	80	2031
38	81	1997
39	81	1963
40	82	1927
41	83	1895
42	83	1862
43	84	1830
44	84	1800
45	85	1772
46	85	1743
47	86	1716
48	87	1689
49	87	1664
50	88	1639
51	88	1616
52	89	1595
53	89	1574
54	90	1554
55	90	1533
56	91	1514
57	92	1495
58	92	1476
59	93	1458
60	93	1440
61	94	1423
62	94	1408
63	95	1392
64	95	1377
65	96	1362
66	96	1348
67	97	1334
68	97	1320
69	98	1306
70	98	1292
71	99	1279
72	99	1267
73	100	1255
74	100	1243
75	101	1232
76	101	1221
77	102	1210
78	102	1199
79	103	1189
80	103	1179
81	104	1172
82	105	1163
83	106	1160
84	107	1153
85	107	1146
86	108	1138
87	109	1131
88	109	1124
89	110	1115
90	110	1107
91	111	1099
92	111	1091
93	112	1083
94	112	1076
95	113	1068
96	113	1060
97	114	1053
98	114	1046
99	115	1039
100	115	1032
101	116	1025
102	117	1019
103	117	1012
104	118	1006
105	118	1000
106	119	995
107	119	990
108	120	987
109	121	982
110	121	976
111	122	972
112	123	968
113	124	964
114	124	959
115	125	954
116	125	948
117	126	943
118	126	937
119	127	932
120	127	927
121	128	922
122	128	917
123	129	912
124	129	907
125	130	904
126	130	899
127	131	894
128	131	890
129	132	886
130	132	881
131	133	877
132	133	873
133	134	869
134	135	865
135	135	862
136	136	858
137	136	854
138	137	850
139	137	846
140	138	842
141	138	837
142	139	833
143	139	829
144	140	825
145	140	822
146	141	818
147	141	814
148	142	811
149	142	807
150	143	804
151	143	800
152	144	797
153	144	794
154	145	791
155	145	789
156	146	786
157	147	783
158	147	780
159	148	777
160	148	773
161	148	770
162	149	767
163	149	764
164	150	761
165	151	758
166	151	755
167	152	753
168	152	750
169	153	747
170	153	744
171	154	741
172	154	739
173	155	736
174	155	733
175	156	731
176	156	728
177	157	725
178	157	722
179	158	720
180	158	717
181	159	715
182	159	713
183	160	712
184	161	710
185	161	707
186	162	705
187	162	702
188	163	700
189	163	698
190	164	696
191	164	694
192	165	692
193	166	691
194	167	690
195	167	688
196	168	686
197	169	684
198	169	682
199	170	680
200	170	678
201	171	675
202	172	677
203	173	675
204	173	673
205	174	671
206	174	668
207	175	666
208	175	664
209	176	662
210	176	660
211	177	658
212	177	656
213	178	654
214	178	652
215	179	650
216	179	648
217	180	646
218	180	645
219	181	643
220	182	642
221	182	640
222	183	638
223	183	636
224	184	634
225	184	632
226	185	631
227	185	629
228	186	627
229	186	625
230	187	623
231	187	621
232	188	620
233	188	618
234	189	616
235	189	614
236	190	612
237	190	610
238	191	608
239	191	607
240	192	605
241	192	603
242	193	601
243	193	600
244	194	599
245	195	599
246	196	598
247	197	598
248	198	597
249	198	596
250	199	596
251	201	596
252	201	595
253	202	594
254	203	593
255	203	592
256	204	591
257	205	589
258	205	588
259	206	586
260	206	584
261	207	583
262	207	582
263	208	580
264	208	579
265	210	579
266	211	579
267	212	579
268	212	578
269	213	577
270	214	575
271	214	574
272	215	573
273	216	572
274	216	570
275	217	569
276	217	568
277	218	567
278	219	566
279	219	564
280	220	563
281	221	563
282	221	562
283	222	561
284	223	560
285	224	559
286	224	558
287	226	558
288	226	557
289	227	556
290	227	555
291	228	554
292	229	553
293	229	551
294	230	550
295	230	549
296	231	547
297	231	546
298	232	545
299	233	544
300	233	542
301	234	541
302	234	540
303	235	538
304	235	537
305	236	536
306	236	534
307	237	533
308	237	532
309	238	530
310	239	529
311	239	528
312	240	527
313	241	526
314	241	525
315	242	524
316	243	523
317	243	522
318	244	521
319	244	520
320	245	519
321	245	517
322	246	516
323	246	515
324	247	513
325	248	512
326	248	511
327	249	510
328	249	509
329	250	507
330	250	506
331	251	505
332	251	504
333	252	503
334	253	502
335	253	501
336	254	500
337	254	498
338	255	497
339	255	496
340	256	495
341	257	494
342	257	493
343	258	492
344	258	491
345	259	491
346	260	490
347	261	489
348	261	487
349	262	486
350	262	485
351	263	484
352	263	483
353	264	482
354	265	481
355	265	480
356	266	479
357	266	478
358	267	477
359	267	475
360	268	474
361	268	473
362	269	472
363	270	471
364	270	470
365	271	469
366	271	468
367	272	467
368	272	466
369	273	465
370	273	464
371	274	463
372	274	461
373	275	460
374	275	459
375	276	458
376	276	457
377	277	456
378	277	455
379	278	453
380	278	452
381	279	451
382	279	450
383	280	449
384	280	448
385	281	447
386	281	446
387	282	445
388	282	444
389	283	442
390	283	441
391	284	441
392	284	440
393	285	439
394	286	438
395	287	437
396	287	436
397	288	436
398	289	435
399	289	434
400	290	433
401	290	432
402	291	431
403	291	430
404	292	429
405	292	428
406	293	427
407	293	426
408	294	425
409	294	424
410	295	422
411	295	422
412	296	421
413	297	420
414	297	419
415	298	418
416	298	417
417	299	416
418	299	415
419	300	415
420	301	414
421	302	414
422	302	413
423	303	412
424	304	411
425	305	411
426	305	410
427	306	409
428	306	408
429	307	407
430	307	406
431	308	405
432	309	404
433	309	403
434	310	402
435	311	402
436	312	402
437	312	401
438	313	400
439	314	399
440	314	399
441	315	398
442	316	397
443	316	396
444	317	396
445	318	395
446	318	394
447	319	393
448	320	393
449	321	392
450	321	391
451	322	391
452	323	390
453	323	389
454	324	388
455	325	387
456	325	386
457	326	386
458	326	385
459	327	384
460	327	383
461	328	382
462	329	382
463	330	381
464	331	381
465	332	381
466	333	380
467	334	379
468	334	378
469	335	378
470	336	377
471	336	376
472	337	375
473	338	375
474	338	374
475	339	373
476	340	372
477	340	372
478	341	371
479	342	370
480	342	370
481	343	369
482	344	368
483	344	367
484	345	366
485	346	366
486	346	365
487	347	364
488	347	363
489	348	362
490	349	361
491	349	361
492	350	360
493	350	359
494	352	359
495	353	358
496	354	358
497	354	357
498	355	357
499	356	356
500	357	356
501	358	355
502	359	355
503	360	354
504	361	354
505	362	353
506	363	353
507	364	352
508	364	351
509	365	351
510	366	350
511	367	350
512	368	349
513	368	348
514	369	347
515	369	346
516	370	346
517	371	345
518	371	344
519	372	343
520	372	342
521	373	342
522	374	341
523	374	340
524	375	339
525	375	338
526	376	338
527	377	337
528	377	336
529	378	335
530	378	334
531	379	333
532	379	332
533	380	331
534	380	330
535	381	330
536	381	329
537	382	328
538	382	327
539	383	326
540	384	325
541	384	325
542	385	324
543	385	323
544	386	322
545	387	321
546	387	321
547	388	320
548	388	319
549	389	318
550	389	317
551	390	317
552	391	316
553	391	315
554	392	314
555	392	313
556	393	313
557	394	312
558	395	311
559	396	311
560	396	310
561	397	309
562	397	308
563	398	307
564	398	307
565	399	306
566	399	305
567	400	304
568	401	303
569	402	303
570	402	302
571	403	301
572	403	300
573	404	299
574	404	299
575	405	298
576	405	297
577	406	296
578	406	295
579	407	294
580	407	294
581	408	293
582	408	292
583	409	291
584	409	290
585	410	289
586	410	289
587	411	288
588	412	287
589	412	286
590	413	285
591	413	285
592	414	284
593	414	283
594	415	282
595	415	281
596	417	281
597	417	280
598	418	280
599	419	279
600	419	278
601	420	277
602	420	276
603	421	276
604	421	275
605	422	274
606	423	274
607	424	273
608	424	272
609	425	272
610	426	271
611	426	270
612	427	270
613	428	269
614	428	268
615	429	267
616	430	267
617	431	266
618	431	265
619	432	265
620	432	264
621	433	263
622	434	262
623	434	261
624	435	261
625	435	260
626	436	259
627	436	258
628	437	258
629	438	257
630	439	256
631	439	255
632	440	255
633	440	254
634	441	253
635	441	252
636	442	251
637	442	251
638	443	250
639	443	249
640	444	248
641	444	247
642	445	247
643	446	246
644	446	245
645	447	245
646	447	244
647	448	243
648	448	242
649	449	241
650	449	241
651	450	240
652	450	239
653	451	238
654	451	238
655	452	237
656	452	236
657	453	235
658	454	234
659	454	234
660	455	233
661	455	232
662	456	231
663	456	231
664	457	230
665	457	229
666	458	228
667	458	227
668	459	227
669	459	226
670	460	225
671	460	224
672	461	224
673	461	223
674	462	222
675	462	221
676	463	221
677	463	220
678	464	219
679	464	218
680	465	217
681	465	217
682	466	216
683	466	215
684	467	214
685	467	214
686	468	213
687	468	212
688	469	211
689	469	211
690	470	210
691	470	209
692	471	208
693	472	208
694	472	207
695	472	206
696	473	205
697	474	205
698	474	204
699	475	203
700	475	202
701	476	202
702	476	201
703	477	200
704	477	199
705	478	199
706	479	198
707	479	197
708	480	197
709	481	196
710	481	195
711	482	195
712	482	194
713	483	193
714	483	192
715	484	192
716	484	191
717	485	190
718	486	189
719	486	189
720	487	188
721	487	187
722	488	187
723	488	186
724	489	185
725	490	184
726	491	184
727	492	183
728	493	183
729	494	182
730	495	182
731	495	181
732	496	180
733	496	180
734	497	179
735	497	178
736	498	177
737	499	177
738	500	176
739	501	176
740	501	175
741	502	174
742	503	174
743	504	173
744	504	172
745	505	171
746	505	171
747	506	170
748	506	169
749	507	169
750	508	168
751	508	167
752	509	166
753	509	166
754	510	165
755	510	164
756	511	164
757	511	163
758	512	162
759	512	161
760	513	161
761	513	160
762	514	159
763	514	158
764	515	158
765	515	157
766	516	156
767	516	156
768	517	155
769	517	154
770	518	153
771	518	153
772	519	152
773	520	151
774	520	151
775	521	150
776	521	149
777	522	149
778	522	148
779	523	147
780	523	146
781	524	146
782	524	145
783	525	144
784	525	144
785	526	143
786	526	142
787	527	141
788	527	141
789	528	140
790	529	139
791	530	139
792	530	138
793	531	137
794	531	137
795	532	136
796	532	135
797	533	134
798	533	134
